"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","Angels","139","639","30","129","83","49","10.5 %","21.8 %",".238",".383",".326",".399",".564",".409","167","12.0","62.2","13.0","10.1","10155"
"Robinson Cano","Yankees","161","697","33","105","94","3","8.8 %","13.8 %",".238",".326",".313",".379",".550",".394","149","-1.7","38.5","12.6","7.7","3269"
"Buster Posey","Giants","148","610","24","78","103","1","11.3 %","15.7 %",".213",".368",".336",".408",".549",".406","164","-5.1","41.5","13.0","7.7","9166"
"Ryan Braun","Brewers","154","677","41","108","112","30","9.3 %","18.9 %",".276",".346",".319",".391",".595",".413","160","3.7","51.9","-2.3","7.4","3410"
"David Wright","Mets","156","670","21","91","93","15","12.1 %","16.7 %",".186",".347",".306",".391",".492",".376","141","-0.5","32.2","17.4","7.4","3787"
"Chase Headley","Padres","161","699","31","95","115","17","12.3 %","22.5 %",".212",".337",".286",".376",".498",".378","145","-1.2","36.6","9.7","7.2","4720"
"Miguel Cabrera","Tigers","161","697","44","109","139","4","9.5 %","14.1 %",".277",".331",".330",".393",".606",".417","165","-2.9","50.1","-8.2","6.8","1744"
"Andrew McCutchen","Pirates","157","673","31","107","96","20","10.4 %","19.6 %",".226",".375",".327",".400",".553",".403","158","3.2","49.6","-6.5","6.7","9847"
"Jason Heyward","Braves","158","651","27","93","82","21","8.9 %","23.3 %",".210",".319",".269",".335",".479",".351","120","7.9","23.7","15.9","6.3","4940"
"Adrian Beltre","Rangers","156","654","36","95","102","1","5.5 %","12.5 %",".240",".319",".321",".359",".561",".388","141","-2.2","29.3","9.5","6.3","639"
"Yadier Molina","Cardinals","138","563","22","65","76","12","8.0 %","9.8 %",".186",".316",".315",".373",".501",".375","139","-5.9","20.0","20.2","6.1","7007"
"Michael Bourn","Braves","155","703","9","96","57","42","10.0 %","22.0 %",".117",".349",".274",".348",".391",".326","104","6.6","9.8","25.6","6.0","6387"
"Ben Zobrist","Rays","157","668","20","88","74","14","14.5 %","15.4 %",".202",".296",".270",".377",".471",".365","137","-3.2","25.9","8.3","5.9","7435"
"Alex Gordon","Royals","161","721","14","93","72","10","10.1 %","19.4 %",".160",".356",".294",".368",".455",".357","126","1.1","22.7","7.3","5.6","5209"
"Aramis Ramirez","Brewers","149","630","27","92","105","9","7.0 %","13.0 %",".240",".310",".300",".360",".540",".384","140","-4.2","25.7","7.8","5.6","1002"
"Martin Prado","Braves","156","690","10","81","70","17","8.4 %","10.0 %",".136",".322",".301",".359",".438",".345","117","3.3","17.0","14.0","5.5","3312"
"Aaron Hill","Diamondbacks","156","668","26","93","85","14","7.8 %","12.9 %",".220",".317",".302",".360",".522",".375","133","2.1","28.4","2.8","5.5","6104"
"Torii Hunter","Angels","140","584","16","81","92","9","6.5 %","22.8 %",".139",".389",".313",".365",".451",".356","131","4.8","25.9","4.8","5.2","731"
"Austin Jackson","Tigers","137","617","16","103","66","12","10.9 %","21.7 %",".179",".371",".300",".377",".479",".371","134","-0.8","23.4","5.6","5.1","9848"
"Ian Desmond","Nationals","130","547","25","72","73","21","5.5 %","20.7 %",".218",".332",".292",".335",".511",".362","128","1.4","19.7","10.3","5.0","6885"
"Jimmy Rollins","Phillies","156","699","23","102","68","30","8.9 %","13.7 %",".177",".262",".250",".316",".427",".322","101","8.3","8.9","14.9","4.8","971"
"Prince Fielder","Tigers","162","690","30","83","108","1","12.3 %","12.2 %",".215",".321",".313",".412",".528",".398","152","-6.7","35.2","-12.3","4.8","4613"
"Joe Mauer","Twins","147","641","10","81","85","8","14.0 %","13.7 %",".127",".364",".319",".416",".446",".376","139","0.2","29.6","-5.5","4.7","1857"
"Miguel Montero","Diamondbacks","141","573","15","65","88","0","12.7 %","22.7 %",".152",".362",".286",".391",".438",".364","125","-5.5","11.6","14.7","4.7","3364"
"Matt Holliday","Cardinals","157","688","27","95","102","4","10.9 %","19.2 %",".202",".337",".295",".379",".497",".378","141","-0.6","32.8","-11.0","4.6","1873"
"Angel Pagan","Giants","154","659","8","95","56","29","7.3 %","14.7 %",".152",".329",".288",".338",".440",".334","115","8.1","20.1","2.6","4.6","2918"
"Josh Reddick","Athletics","156","673","32","85","85","11","8.2 %","22.4 %",".221",".269",".242",".305",".463",".326","108","4.0","10.6","10.7","4.5","3892"
"Bryce Harper","Nationals","139","597","22","98","59","18","9.4 %","20.1 %",".206",".310",".270",".340",".477",".352","121","0.2","15.4","8.3","4.5","11579"
"Adam Jones","Orioles","162","697","32","103","82","16","4.9 %","18.1 %",".218",".313",".287",".334",".505",".361","127","1.3","23.6","-4.2","4.4","6368"
"Dustin Pedroia","Red Sox","141","623","15","81","65","20","7.7 %","9.6 %",".160",".300",".290",".347",".449",".344","114","-0.5","9.6","11.7","4.4","8370"
"Alex Rios","White Sox","157","640","25","93","91","23","4.1 %","14.4 %",".212",".323",".304",".334",".516",".361","126","5.6","25.2","-5.6","4.2","2090"
"Josh Hamilton","Rangers","148","636","43","103","128","7","9.4 %","25.5 %",".292",".320",".285",".354",".577",".387","141","4.0","34.2","-14.9","4.2","1875"
